sample_code,14:0,15:0,16:0,16:1+iso-17:0,cis-9-16:1,17:0,17:1+16:2,18:0,cis-9-18:1,cis-11-18:1,18:2n-6,20:0,18:3n-3,20:1,18:4n-3,20:3n-6,22:0,20:4n-6,20:4n-3,20:5n-3,24:1,22:5n-6,22:5n-3,22:6n-3
196,1.888,0.507,23.397,0.595,3.217,0.598,0.359,7.369,15.178,3.122,1.044,0.292,0.507,1.223,0.195,0.238,0.143,3.194,2.105,6.486,2.749,0.521,3.299,21.777
197,2.309,0.530,23.291,0.792,3.534,0.742,0.410,7.201,16.969,3.562,0.945,0.324,0.597,1.488,0.229,0.248,0.128,3.270,2.350,7.252,2.692,0.416,3.317,17.406
201,1.328,0.403,22.720,0.548,2.894,0.635,0.304,7.673,15.971,2.840,0.885,0.344,0.470,1.235,0.164,0.222,0.127,3.799,2.064,7.620,3.370,0.411,3.196,20.777
203,1.082,0.500,21.465,0.595,2.655,0.916,0.439,9.511,13.718,2.628,1.012,0.488,0.391,1.160,0.148,0.308,0.226,5.909,1.424,7.567,3.730,0.470,2.886,20.771
204,2.250,0.455,23.321,0.702,3.994,0.633,0.420,7.030,17.387,4.016,1.001,0.311,0.703,1.277,0.258,0.199,0.133,2.689,2.028,6.883,2.621,0.353,3.494,17.840
211,1.061,0.431,20.639,0.832,2.682,0.853,0.362,8.113,13.013,3.598,0.826,0.449,0.361,0.966,0.137,0.229,0.231,5.469,1.528,8.502,3.608,0.311,3.334,22.466
216,1.351,0.488,22.699,0.604,3.110,0.788,0.343,8.035,13.652,2.964,0.996,0.428,0.484,0.969,0.205,0.250,0.204,4.426,1.574,8.510,3.576,0.555,3.811,19.978
218,2.222,0.446,21.219,0.755,5.557,0.744,0.782,7.709,12.237,3.376,1.769,0.469,0.998,0.815,0.575,0.282,0.223,4.368,1.254,10.556,3.367,0.324,3.596,16.359
219,1.570,0.478,23.583,0.725,3.334,0.671,0.486,8.010,15.693,3.703,1.073,0.388,0.666,1.149,0.389,0.211,0.190,3.028,1.745,7.287,3.679,0.337,3.316,18.290
223,1.353,0.385,21.597,0.609,3.922,0.668,0.406,8.396,13.413,3.488,1.018,0.371,0.481,1.018,0.221,0.236,0.195,3.332,1.720,8.793,3.647,0.247,3.462,21.021
229,1.025,0.470,21.276,0.757,2.690,0.881,0.375,8.317,13.278,4.097,1.082,0.359,0.368,1.000,0.152,0.300,0.201,4.067,1.630,9.374,3.348,0.508,3.506,20.938
233,1.555,0.577,23.092,0.836,3.253,0.820,0.468,8.556,14.392,3.048,1.100,0.460,0.555,1.048,0.236,0.266,0.251,3.878,1.601,6.847,3.684,0.465,3.391,19.620
234,2.183,0.512,23.830,0.782,3.696,0.708,0.479,7.616,16.578,3.435,0.806,0.274,0.486,1.171,0.184,0.187,0.159,3.413,1.803,6.228,2.876,0.471,3.981,18.143
238,3.242,0.667,25.354,0.992,4.608,0.905,0.606,7.820,14.314,3.998,1.934,0.302,1.313,1.030,0.763,0.212,0.175,3.644,1.668,6.144,2.780,0.520,2.734,14.273
239,1.913,0.468,23.705,0.718,3.505,0.714,0.370,8.339,16.246,3.876,1.053,0.360,0.681,1.439,0.297,0.192,0.142,3.163,1.767,6.105,2.927,0.380,3.552,18.090
